English,German
cast,gießen
castle,Schloss
cat,Katze
catch,Fang
catch up,aufholen
category,Kategorie
cause,weil
CD,CD
cease,beenden
ceiling,Decke
celebrate,zelebrieren
celebration,Feier
cell,Zelle
cell phone,Mobiltelefon
cent,Cent
centimetre,Zentimeter
central,zentral
centre,Center
century,Jahrhundert
ceremony,Zeremonie
certain,sicher
certainly,sicherlich
certificate,Zertifikat
chain,Kette
chair,Stuhl
chairman,Vorsitzende
chairwoman,Vorsitzende
challenge,Herausforderung
chamber,Kammer
chance,Chance
change,Rückgeld
change round,wechseln
channel,Kanal
chapter,Kapitel
character,Charakter
characteristic,charakteristisch
charge,aufladen
charity,Wohltätigkeit
chart,Diagramm
chase,Verfolgungsjagd
chase away,verjagen
chat,Plaudern
cheap,billig
cheaply,billig
cheat,schummeln
cheat of,Betrüger von
check,überprüfen
check in,Check-In
check into,check in
check on,prüfen Auf
check out,Kasse
check over,überprüfen
check up on,Überprüfen Sie
cheek,Wange
cheerful,gut gelaunt
cheerfully,fröhlich
cheese,Käse
chemical,chemisch
chemist,Chemiker
chemistry,Chemie
cheque,überprüfen
chest,Truhe
chew,kauen
chicken,Hähnchen
chief,Chef
child,Kind
chin,kinn
chip,Chip
chocolate,Schokolade
choice,Auswahl
choose,wählen
chop,hacken
chop down,fällen
chop off,abhacken
church,Kirche
cigarette,Zigarette
cinema,Kino
circle,Kreis
circumstance,Umstand
citizen,Bürger
city,Stadt
civil,bürgerlich
claim,Klage
clap,klatschen
class,Klasse
classic,klassisch
classroom,Klassenzimmer
clean,sauber
clean up,Aufräumen
clear,klar
clearly,deutlich
clear out,klären
clear up,klären
clerk,Sachbearbeiter
clever,clever
click,klicken
client,Klient
climate,Klima
climb,steigen
climbing,Klettern
clock,Uhr
close,nah dran
closed,abgeschlossen
closely,eng
closet,Wandschrank
cloth,Stoff
clothes,Kleidung
clothing,Kleidung
cloud,Wolke
club,Verein
coach,Coach
coal,Kohle
coast,Küste
coat,Mantel
code,Code
coffee,Kaffee
coin,Münze
cold,kalt
coldly,kalt
collapse,Zusammenbruch
colleague,Kollege
collect,sammeln
collection,Sammlung
college,Uni
colour,Farbe
coloured,farbig
column,Säule
combination,Kombination
combine,kombinieren
come,Kommen Sie
come across,stoßen rüber
come down,herunter kommen
comedy,Komödie
come from,komme aus
come in,Komm herein
come off,ausgehen
come on,aufleuchten
come out,herauskommen
come round,vorbeikommen
come to,Komm zu
come up,aufkommen
come up to,komm an
comfort,Komfort
comfortable,gemütlich
comfortably,bequem
command,Befehl
comment,Kommentar
commercial,kommerziell
commission,Kommission
commit,verpflichten
commitment,Verpflichtung
committee,Komitee
common,gemeinsames
commonly,häufig
communicate,kommunizieren
communication,Kommunikation
community,Gemeinschaft
company,Gesellschaft
compare,vergleichen
comparison,Vergleich
compete,wetteifern
competition,Wettbewerb
competitive,wettbewerbsfähig
complain,beschweren
complaint,Beschwerde
complete,Komplett
completely,vollständig
complex,Komplex
complicate,komplizieren
complicated,kompliziert
computer,Computer
concentrate,konzentrieren
concentrate on,konzentrieren auf
concentration,Konzentration
concept,Konzept
concern,Anliegen
concerned,betroffen
concerning,betreffend
concert,Konzert
conclude,daraus schließen
conclusion,Fazit
concrete,Beton
condition,Bedingung
conduct,Verhalten
conference,Konferenz
confidence,Vertrauen
confident,zuversichtlich
confidently,zuversichtlich
confine,beschränken
confined,beschränkt
confirm,bestätigen
conflict,Konflikt
confront,konfrontieren
confuse,verwechseln
confused,verwirrt
confusing,verwirrend
confusion,Verwirrtheit
congratulate,gratulieren
congratulation,Glückwunsch
congress,Kongress
connect,verbinden
connected,in Verbindung gebracht
connection,Verbindung
conscious,bewusst
consequence,Folge
conservative,konservativ
consider,Erwägen
considerable,beträchtlich
considerably,wesentlich
consideration,Rücksichtnahme
consist,bestehen
consist of,besteht aus
constant,Konstante
constantly,ständig
construct,konstruieren
construction,Konstruktion
consult,konsultieren
consumer,Verbraucher
contact,Kontakt
contain,enthalten
container,Container
contemporary,zeitgenössisch
content,Inhalt
contest,Wettbewerb
context,Kontext
continent,Kontinent
continue,fortsetzen
continuous,kontinuierlich
continuously,ständig
contract,Vertrag
contrast,Kontrast
contrasting,kontrastieren
contribute,beitragen
contribution,Beitrag
control,Kontrolle
controlled,kontrolliert
convenient,praktisch
convention,Konvention
conventional,konventionell
conversation,Gespräch
convert,Konvertieren
convince,überzeugen
cook,Koch
cooker,Kocher
cookie,Plätzchen
cooking,Kochen
cool,Kalt
cool down,abkühlen
cope,bewältigen
copy,Kopieren
core,Ader
corner,Ecke
correct,Korrekt
correctly,korrekt
cost,kosten
cottage,Hütte
cotton,Baumwolle
cough,Husten
coughing,Husten
could,könnte
council,Rat
count,zählen
counter,Zähler
count on,verlassen auf
country,Land
countryside,Landschaft
county,Bezirk
couple,Paar
courage,Mut
course,Kurs
court,Gericht
cousin,Cousin
cover,Startseite
covered,bedeckt
covering,Abdeckung
cover up,zudecken
cow,Kuh
crack,Riss
cracked,geknackt
craft,Boot
crash,Absturz
crazy,verrückt
cream,Creme
create,schaffen
creature,Kreatur
credit,Anerkennung
credit card,Kreditkarte
crime,Verbrechen
criminal,kriminell
crisis,Krise
crisp,knackig
criterion,Kriterium
critical,kritisch
criticism,Kritik
criticize,kritisieren
crop,Ernte
cross,Kreuz
cross out,streichen
crowd,Menge
crowded,überlaufen
crown,Krone
crucial,zentral
cruel,grausam
crush,zerkleinern
cry,Schrei
cry out,schreien
cultural,kulturell
culture,Kultur
cup,Tasse
cupboard,Schrank
curb,Randstein
cure,Heilung
curious,neugierig
curiously,Seltsamerweise
curl,Locken
curl up,sich zusammenrollen
curly,lockig
current,aktuell
currently,zur Zeit
curtain,Vorhang
curve,Kurve
curved,gebogen
custom,Brauch
customer,Kunde
customs,Zoll
cut,schneiden
cut back,Rückschnitt
cut down,verringern
cut off,abgeschnitten
cut out,ausgeschnitten
cut up,zerschneiden
cycle,Kreislauf
cycling,Radfahren
dad,Papa
daily,Täglich
damage,Schaden
damp,Feuchte
dance,tanzen
dancer,Tänzer
dancing,Tanzen
danger,Achtung
dangerous,gefährlich
dare,Wagen
dark,dunkel
data,Daten
date,Datum
date back,Date zurück
daughter,Tochter
day,Tag
dead,tot
deaf,taub
deal,handeln
deal in,ansprechen
deal with,bewältigen
dear,Liebling
death,Tod
debate,Debatte
debt,Schuld
decade,Jahrzehnt
decay,Verfall
December,Dezember
decide,sich entscheiden
decide on,entscheiden über
decision,Entscheidung
declare,erklären
decline,Abfall
decorate,schmücken
decoration,Dekoration
decorative,dekorativ
decrease,Verringerung
deep,tief
deeply,tief
defeat,Verlust
defence,Verteidigung
defend,verteidigen
define,definieren
definite,definitiv
definitely,bestimmt
definition,Definition
degree,Grad
delay,Verzögerung
deliberate,absichtlich
deliberately,absichtlich
delicate,empfindlich
delight,Vergnügen
delighted,erfreut
deliver,liefern
delivery,Lieferung
demand,fordern
demonstrate,zeigen
dentist,Zahnarzt
deny,leugnen
department,Abteilung
departure,Abfahrt
depend,abhängen
depend on,darauf ankommen
deposit,Hinterlegung
depress,deprimieren
depressed,deprimiert
depressing,deprimierend
depth,Tiefe
derive,ableiten
derive from,ergeben sich aus
describe,beschreiben
description,Bezeichnung
desert,Wüste
deserted,verlassen
deserve,verdienen
design,Entwurf
desire,Verlangen
desk,Schreibtisch
desperate,verzweifelt
desperately,verzweifelt
despite,Trotz
destroy,zerstören
destruction,Zerstörung
detail,Detail
detailed,detailliert
determination,Festlegung
determine,bestimmen
determined,bestimmt
develop,sich entwickeln
development,Entwicklung
device,Gerät
devote,widmen
devoted,hingebungsvoll
devote to,widmen
diagram,Diagramm
diamond,Diamant
diary,Tagebuch
dictionary,Wörterbuch
die,sterben
die away,wegsterben
die out,Aussterben
diet,Diät
difference,Unterschied
different,anders
differently,anders
difficult,schwierig
difficulty,Schwierigkeit
dig,graben
digital,Digital
dinner,Abendessen
direct,Direkte
direction,Richtung
directly,direkt
director,Direktor
dirt,Schmutz
dirty,schmutzig
disabled,deaktiviert
disadvantage,Nachteil
disagree,nicht zustimmen
disagreement,Uneinigkeit
disagree with doing,nicht einverstanden mit dem Tun
disappear,verschwinden
disappoint,enttäuschen
disappointed,enttäuscht
disappointing,enttäuschend
disappointment,Enttäuschung
disapproval,Missbilligung
disapprove,missbilligen
disapproving,missbilligend
disaster,Katastrophe
disc,Rabatt
discipline,Disziplin
discount,Rabatt
discover,entdecken
discovery,Entdeckung
discuss,diskutieren
discussion,Diskussion
disease,Erkrankung
disgust,der Ekel
disgusted,angewidert
disgusting,widerlich
dish,Gericht
dishonest,unehrlich
dishonestly,unehrlich
disk,Scheibe
dislike,nicht gefallen
dismiss,zurückweisen
display,Anzeige
dissolve,sich auflösen
distance,Distanz
distinguish,unterscheiden
distribute,verteilen
distribution,Verteilung
district,Bezirk
disturb,stören
disturbing,störend
divide,teilen
division,Aufteilung
divorce,Scheidung
divorced,geschieden
do,tun
doctor,Arzt
document,dokumentieren
dog,Hund
dollar,Dollar
domestic,inländisch
dominate,dominieren
door,Tür
dot,Punkt
double,doppelt
doubt,Zweifel
do up,aufpeppen
do with,machen mit
do without,verzichten
down,Nieder
downstairs,unten
downward,nach unten
downwards,nach unten
dozen,Dutzend
draft,Entwurf
drag,ziehen
drama,Theater
dramatic,dramatisch
dramatically,dramatisch
draw,zeichnen
drawer,Schublade
drawing,Zeichnung
dream,Traum
dress,Kleid
dressed,gekleidet
dress up,Ankleiden
drink,Getränk
drive,Fahrt
drive away,wegfahren
drive off,wegfahren
driver,Treiber
driving,Fahren
drop,fallen
drop out,aussteigen
drug,Arzneimittel
drugstore,Drogerie
drum,Trommel
drunk,betrunken
dry,trocken
dry off,abtrocknen
dry up,Austrocknen
due,fällig
dull,Stumpf
dump,entsorgen
during,während
dust,Staub
duty,Pflicht
DVD,DVD
dying,Absterben
each,jeder
each other,gegenseitig
ear,Ohr
early,frühzeitig
earn,verdiene
earth,Erde
ease,Leichtigkeit
easily,leicht
east,Ost
eastern,Ost
easy,einfach
eat,Essen
eat out,Essen gehen
eat up,aufessen
economic,wirtschaftlich
economy,Wirtschaft
edge,Kante
edition,Auflage
editor,Editor
educate,erziehen
educated,gebildet
education,Ausbildung
effect,Wirkung
effective,Wirksam
effectively,effektiv
efficient,effizient
efficiently,effizient
effort,Anstrengung
e.g.,z.B.
egg,Ei
eight,acht
eighteen,achtzehn
eighteenth,Achtzehnt
eighth,achte
eightieth,Achtzigste
eighty,achtzig
either,entweder
elbow,Ellbogen
elderly,Alten
elect,wählen
election,Wahl
electric,elektrisch
electrical,elektrisch
electricity,Elektrizität
electronic,elektronisch
elegant,elegant
element,Element
elevator,Aufzug
eleven,elf
eleventh,elfte
else,anders
elsewhere,anderswo
email,Email
embarrass,in Verlegenheit bringen
embarrassed,beschämt
embarrassing,peinlich
embarrassment,Verlegenheit
emerge,auftauchen
emergency,Notfall
emotion,Emotion
emotional,emotional
emotionally,emotional
emphasis,Hervorhebung
emphasize,betonen
empire,Reich
employ,beschäftigen
employee,Angestellter
employer,Arbeitgeber
employment,Beschäftigung
empty,leer
enable,ermöglichen
encounter,begegnen
encourage,ermutigen
encouragement,Ermutigung
end,Ende
end in,Ende in
ending,Ende
end up,Enden
enemy,Feind
energy,Energie
engage,engagieren
engaged,verlobt
engine,Motor
engineer,Techniker
engineering,Ingenieurwesen
enjoy,Viel Spaß
enjoyable,angenehm
enjoyment,Vergnügen
enormous,enorm
enough,genügend
enquiry,Anfrage
ensure,dafür sorgen
enter,Eintreten
entertain,unterhalten
entertainer,Entertainer
entertaining,unterhaltsam
entertainment,Entertainment
enthusiasm,Begeisterung
enthusiastic,enthusiastisch
enthusiastically,begeistert
entire,gesamte
entirely,völlig
entitle,berechtigen
entrance,Eingang
entry,Eintrag
envelope,Umschlag
environment,Umgebung
environmental,Umwelt
equal,gleich
equally,gleichermaßen
equipment,Ausrüstung
equivalent,Äquivalent
error,Error
escape,Flucht
especially,besonders
essay,Aufsatz
essential,wesentlich
essentially,im Wesentlichen
establish,Gründen
estate,Anwesen
estimate,schätzen
etc.,usw.
euro,Euro
even,eben
evening,Abend
event,Veranstaltung
eventually,letztlich
ever,je
every,jeder
everybody,alle
everyone,alle
everything,alles
everywhere,"überall, überallhin, allerorts"
evidence,Beweis
evil,teuflisch
ex-,ex-
exact,genau
exactly,exakt
exaggerate,übertreiben
exaggerated,übertrieben
exam,Prüfung
examination,Untersuchung
examine,untersuchen
example,Beispiel
excellent,Ausgezeichnet
except,außer
exception,Ausnahme
exchange,Austausch
excite,begeistern
excited,aufgeregt
excitement,Aufregung
exciting,aufregend
exclude,ausschließen
excluding,ausschließlich
excuse,Entschuldigung
executive,Executive
exercise,Übung
exhibit,Ausstellungsstück
exhibition,Ausstellung
exist,existieren
existence,Existenz
exit,Ausfahrt
expand,erweitern
expect,erwarten von
expectation,Erwartung
expected,erwartet
expense,Kosten
expensive,teuer
experience,Erfahrung
experienced,erfahren
experiment,Experiment
expert,Experte
explain,erklären
explanation,Erläuterung
explode,explodieren
explore,erforschen
explosion,Explosion
export,Export
expose,entlarven
express,ausdrücken
expression,Ausdruck
extend,erweitern
extension,Verlängerung
extensive,umfangreich
extent,Ausmaß
extra,extra
extraordinary,außerordentlich
extreme,extrem
extremely,äußerst
eye,Auge
face,Gesicht
face up to,Gesicht zu
facility,Einrichtung
fact,Tatsache
factor,Faktor
factory,Fabrik
fail,scheitern
failure,Versagen
faint,ohnmächtig werden
faintly,schwach
fair,Messe
fairly,ziemlich
faith,Glaube
faithful,treu
faithfully,treu
fall,Herbst
false,falsch
fame,Ruhm
familiar,vertraut
family,Familie
famous,berühmt
fan,Fan
fancy,schick
far,weit
farm,Bauernhof
farmer,Bauer
farming,Landwirtschaft
farther,weiter
farthest,am weitesten
fashion,Mode
fashionable,modisch
fast,schnell
fasten,befestigen
fat,fett
father,Vater
faucet,Wasserhahn
fault,Fehler
favour,favorisieren
favourite,Favorit
fear,Furcht
feather,Feder
feature,Besonderheit
February,Februar
federal,Bundes
fee,Gebühr
feed,Einspeisung
feel,Gefühl
feeling,Gefühl
fellow,Gefährte
female,weiblich
fence,Zaun
festival,Festival
fetch,bringen
fever,Fieber
few,wenig
field,aufstellen
fifteen,fünfzehn
fifteenth,fünfzehnte
fifth,fünfte
fiftieth,fünfzigste
fifty,fünfzig
fight,Kampf
fighting,Kampf
figure,Zahl
figure out,herausfinden
file,Datei
fill,füllen
fill in,ergänze
fill out,ausfüllen
fill up,auffüllen
film,Film
final,Finale
finally,endlich
finance,Finanzen
financial,finanziell
find,finden
find out,erfahren
fine,fein
finely,fein
finger,Finger
finish,Fertig
finished,fertig
finish off,erledigen
fire,Feuer
firm,Feste
firmly,fest
first,Erste
fish,Fische
fishing,Angeln
fit,fit
fit in,sich einfügen
five,fünf
fix,Fix
fixed,Fest
flag,Flagge
flame,Flamme
flash,Blitz
flat,eben
flavour,Geschmack
flesh,Fleisch
flight,Flug
float,schweben
flood,Flut
flooded,überflutet
flooding,Überschwemmung
floor,Boden
flour,Mehl
flow,fließen
flower,Blume
flu,Grippe
fly,fliegen
flying,fliegend
focus,Fokus
fold,falten
folding,Falten
follow,Folgen
following,folgen
follow up,nachverfolgen
food,Lebensmittel
foot,Fuß
football,Fußball
for,zum
force,Macht
forecast,Vorhersage
foreign,ausländisch
forest,Wald
forever,bis in alle Ewigkeit
forget,vergessen
forgive,verzeihen
fork,Gabel
form,bilden
formal,formell
formally,formal
former,ehemalige
formerly,früher
formula,Formel
fortieth,vierzigste
fortune,Reichtum
forty,vierzig
forward,nach vorne
found,gefunden
foundation,Stiftung
four,vier
fourteen,vierzehn
fourteenth,vierzehnte
fourth,vierte
frame,rahmen
free,frei
freedom,Freiheit
freely,frei
freeze,einfrieren
frequent,häufig
frequently,häufig
fresh,frisch
freshly,frisch
Friday,Freitag
fridge,Kühlschrank
friend,Freund
friendly,freundlich
friendship,Freundschaft
frighten,erschrecken
frighten away/off,erschrecken/aus
frightened,erschrocken
frightening,erschreckend
from,aus
front,Vorderseite
frozen,gefroren
fruit,Obst
fry,braten
fuel,Treibstoff
full,voll
fully,völlig
fun,Spaß
function,Funktion
function as,funktionieren als
fund,Fonds
fundamental,grundlegend
funeral,Beerdigung
funny,komisch
fur,Pelz
furniture,Möbel
further,des Weiteren
future,Zukunft
gain,gewinnen
gallon,Gallone
gamble,zocken
gambling,Glücksspiel
game,Spiel
gap,Lücke
garage,Garage
garbage,Müll
garden,Garten
gas,Gas
gasoline,Benzin
gate,Tor
gather,versammeln
gear,Ausrüstung
general,Allgemeines
generally,allgemein
generate,generieren
generation,Generation
generous,großzügig
generously,großzügig
gentle,sanft
gentleman,Gentleman
gently,sanft
genuine,echt
genuinely,original
geography,Erdkunde
get,erhalten
get away,wegkommen
get away with,Geh weg mit
get back,Komm zurück
get by,vorbeikommen
get in,Treten Sie ein
get into,geraten in
get off,verschwinde
get on,"zusteigen, einsteigen, vorwärtskommen"
get on with,mach weiter
get out of,aussteigen
get over,Komm drüber hinweg
get round,umgehen
get round to,Gehen Sie zu
get through,durchkommen
get up,steh auf
giant,Riese
gift,Geschenk
girl,Mädchen
girlfriend,feste Freundin
give,geben
give away,hergeben
give back,zurück geben
give in,nachgeben
give off,abgeben
give out,verteilen
give up,aufgeben
glad,froh
glass,Glas
global,global
glove,Handschuh
glue,Kleber
go,gehen
go ahead,fortfahren
goal,Tor
go away,Geh weg
go back,geh zurück
go back to,geh zurück zu
go by,Vergehen
god,Gott
go down,gehen
go into,gehen in
gold,Gold
good,gut
goodbye,Auf Wiedersehen
goods,Waren
go off,ausgehen
go on,mach weiter
go on doing,mach weiter
go out,hinausgehen
go out with,ausgehen mit
go over,Gehen Sie hinüber
go round,Gehen Sie herum
go through,durchgehen
go through with,durchziehen
go to,gehe zu
go up,geh hinauf
govern,regieren
government,Regierung
governor,Gouverneur
go with,geh mit
go without,Gehen Sie ohne
grab,greifen
grade,Klasse
gradually,schrittweise
grain,Getreide
gram,Gramm
grammar,Grammatik
grand,Grand
grandchild,Enkel
granddaughter,Enkelin
grandfather,Großvater
grandmother,Oma
grandparent,Großelternteil
grandson,Enkel
grant,gewähren
grass,Gras
grateful,dankbar
grave,Grab
gravely,ernst
great,Großartig
greatly,sehr
green,grün
grey,grau
grocery,Lebensmittelgeschäft
ground,Boden
group,Gruppe
grow,größer werden
growth,Wachstum
grow up,erwachsen werden
guarantee,Garantie
guard,bewachen
guess,erraten
guest,Gast
guide,führen
guilty,schuldig
gun,Pistole
guy,Kerl
habit,Gewohnheit
hair,Haar
hairdresser,Friseur
half,halb
hall,Halle
hammer,Hammer
hand,Hand
hand back,zurückgeben
hand down,Hand nach unten
hand in,einreichen
handle,handhaben
hand out,Handzettel
hand over,aushändigen
hand round,Hand rund
hang,aufhängen
hang about,herumlungern
hang about with,Bleib mit
hang around,rumhängen
hang around with,rumhängen mit
hang on,abwarten
hang on to,Warte an
hang up,auflegen
happen,passieren
happen to,passieren
happily,glücklich
happiness,Glück
happy,glücklich
hard,schwer
hardly,kaum
harm,Schaden
harmful,schädlich
harmless,harmlos
hat,Hut
