English,German,Box
Analyse,0,
alt,0,
und,0,
Wut,0,
Winkel,0,
wütend,0,
wütend,0,
Tier,0,
Knöchel,0,
Jubiläum,0,
bekannt geben,0,
Nerven,0,
verärgert,0,
ärgerlich,0,
jährlich,0,
jährlich,0,
Ein weiterer,0,
Antworten,0,
Anti-,0,
antizipieren,0,
Angst,0,
Ängstlich,0,
besorgt,0,
irgendein,0,
irgendjemand,0,
jeder,0,
irgendetwas,0,
ohnehin,0,
irgendwo,0,
ein Teil,0,
"außer, abgesondert, ausgenommen",0,
Wohnung,0,
entschuldigen,0,
ersichtlich,0,
offenbar,0,
appellieren,0,
erscheinen,0,
Aussehen,0,
Apfel,0,
Anwendung,0,
anwenden,0,
ernennen,0,
geplanter Termin,0,
im Wert steigen,0,
sich nähern,0,
angemessen,0,
die Genehmigung,0,
genehmigen,0,
Genehmigung,0,
ungefähr,0,
etwa,0,
April,0,
Bereich,0,
streiten,0,
Streit,0,
entstehen,0,
Arm,0,
bewaffnet,0,
Waffen,0,
Heer,0,
um,0,
arrangieren,0,
Anordnung,0,
Festnahme,0,
Ankunft,0,
ankommen,0,
ankommen bei,0,
Pfeil,0,
Kunst,0,
Artikel,0,
künstlich,0,
künstlich,0,
Künstler,0,
künstlerisch,0,
künstlerisch,0,
wie,0,
beschämt,0,
beiseite,0,
abgesehen von,0,
Fragen,0,
schlafend,0,
Aspekt,0,
helfen,0,
Hilfe,0,
Assistent,0,
assoziieren,0,
damit verbundenen,0,
Verband,0,
davon ausgehen,0,
versichern,0,
bei,0,
Atmosphäre,0,
Atom,0,
anfügen,0,
angebracht,0,
Attacke,0,
versuchen,0,
versuchte,0,
teilnehmen,0,
jemanden bedienen,0,
Aufmerksamkeit,0,
Attitüde,0,
Rechtsanwalt,0,
anlocken,0,
Attraktion,0,
attraktiv,0,
Publikum,0,
August,0,
Tante,0,
Autor,0,
Behörde,0,
automatisch,0,
automatisch,0,
Herbst,0,
verfügbar,0,
Durchschnitt,0,
vermeiden,0,
Erwachen,0,
vergeben,0,
bewusst,0,
ein Weg,0,
furchtbar,0,
furchtbar,0,
unangenehm,0,
unbeholfen,0,
Baby,0,
der Rücken,0,
Hintergrund,0,
sich zurückziehen,0,
rückwärts,0,
rückwärts,0,
Bakterien,0,
Schlecht,0,
schlecht,0,
schlecht gelaunt,0,
Tasche,0,
Gepäck,0,
backen,0,
Gleichgewicht,0,
Ball,0,
Verbot,0,
Band,0,
Binde,0,
Bank,0,
Bar,0,
Schnäppchen,0,
Barriere,0,
Base,0,
basierend,0,
Basis auf,0,
Basic,0,
Grundsätzlich,0,
Basis,0,
Bad,0,
Bad,0,
Batterie,0,
Schlacht,0,
Bucht,0,
sein,0,
Strand,0,
Schnabel,0,
Bär,0,
Bart,0,
schlagen,0,
verprügeln,0,
schön,0,
schön,0,
Schönheit,0,
Weil,0,
durch,0,
werden,0,
Bett,0,
Schlafzimmer,0,
Rindfleisch,0,
Bier,0,
Vor,0,
Start,0,
Anfang,0,
Namen,0,
sich verhalten,0,
Verhalten,0,
hinter,0,
übrig bleiben,0,
Glauben,0,
glauben,0,
glauben an,0,
Glocke,0,
gehören,0,
gehören,0,
unter,0,
Gürtel,0,
Biege,0,
unter,0,
Nutzen,0,
gebogen,0,
neben,0,
Beste,0,
Wette,0,
besser,0,
Wetten,0,
zwischen,0,
Darüber hinaus,0,
Fahrrad,0,
Gebot,0,
groß,0,
Fahrrad,0,
Rechnung,0,
Milliarde,0,
Behälter,0,
Biologie,0,
Vogel,0,
Geburt,0,
Geburtstag,0,
Keks,0,
bisschen,0,
beissen,0,
bitter,0,
bitterlich,0,
Schwarz,0,
Klinge,0,
Schuld,0,
leer,0,
blind,0,
Block,0,
blond,0,
Blut,0,
Schlag,0,
Ausblasen,0,
sprengen,0,
blau,0,
Tafel,0,
Boot,0,
Karosserie,0,
Kochen,0,
Bombe,0,
Knochen,0,
Buchen,0,
Stiefel,0,
Grenze,0,
Bohrung,0,
gelangweilt,0,
langweilig,0,
geboren,0,
ausleihen,0,
Chef,0,
beide,0,
sich kümmern,0,
Flasche,0,
Unterseite,0,
gebunden,0,
Schüssel,0,
Kasten,0,
Junge,0,
Freund,0,
Gehirn,0,
Zweig,0,
Marke,0,
tapfer,0,
brot,0,
Unterbrechung,0,
abbauen,0,
Frühstück,0,
einbrechen,0,
einbrechen in,0,
abbrechen,0,
ausbrechen,0,
beenden,0,
Brust,0,
Atem,0,
atmen,0,
Einatmen,0,
Ausatmen,0,
Atmung,0,
züchten,0,
Backstein,0,
Brücke,0,
knapp,0,
knapp,0,
hell,0,
hell,0,
brillant,0,
bringen,0,
zurückbringen,0,
herunter bringen,0,
voran bringen,0,
rausbringen,0,
zur Sprache bringen,0,
breit,0,
Übertragung,0,
breit,0,
gebrochen,0,
Bruder,0,
braun,0,
Bürste,0,
Blase,0,
Budget,0,
bauen,0,
Gebäude,0,
aufbauen,0,
Patrone,0,
Bündel,0,
brennen,0,
Abbrennen,0,
verbrannt,0,
platzen,0,
in,0,
ausbrachen,0,
begraben,0,
Bus,0,
Busch,0,
Geschäft,0,
Geschäftsmann,0,
belebt,0,
aber,0,
Butter,0,
Taste,0,
Kaufen,0,
Käufer,0,
durch,0,
Wiedersehen,0,
Kabinett,0,
Kabel,0,
Kuchen,0,
Berechnung,0,
Berechnung,0,
Anruf,0,
zurückrufen,0,
genannt,0,
fordern,0,
absagen,0,
anrufen,0,
Ruhe,0,
sich beruhigen,0,
ruhig,0,
Kamera,0,
Lager,0,
Kampagne,0,
Camping,0,
 kann,0,
Abbrechen,0,
Krebs,0,
Kandidat,0,
Süssigkeit,0,
kann nicht,0,
Deckel,0,
fähig,0,
Kapazität,0,
Hauptstadt,0,
Kapitän,0,
Erfassung,0,
Wagen,0,
Karte,0,
Karton,0,
Pflege,0,
Werdegang,0,
pflegen,0,
Vorsichtig,0,
sorgfältig,0,
leichtsinnig,0,
nachlässig,0,
Teppich,0,
Karotte,0,
tragen,0,
fortfahren,0,
durchführen,0,
Fall,0,
Kasse,0,
gießen,0,
Schloss,0,
Katze,0,
Fang,0,
aufholen,0,
Kategorie,0,
weil,0,
CD,0,
beenden,0,
Decke,0,
zelebrieren,0,
Feier,0,
Zelle,0,
Mobiltelefon,0,
Cent,0,
Zentimeter,0,
zentral,0,
Center,0,
Jahrhundert,0,
Zeremonie,0,
sicher,0,
sicherlich,0,
Zertifikat,0,
Kette,0,
Stuhl,0,
Vorsitzende,0,
Vorsitzende,0,
Herausforderung,0,
Kammer,0,
Chance,0,
Rückgeld,0,
wechseln,0,
Kanal,0,
Kapitel,0,
Charakter,0,
charakteristisch,0,
aufladen,0,
Wohltätigkeit,0,
Diagramm,0,
Verfolgungsjagd,0,
verjagen,0,
Plaudern,0,
billig,0,
billig,0,
schummeln,0,
Betrüger von,0,
überprüfen,0,
Check-In,0,
check in,0,
prüfen Auf,0,
Kasse,0,
überprüfen,0,
Überprüfen Sie,0,
Wange,0,
gut gelaunt,0,
fröhlich,0,
Käse,0,
chemisch,0,
Chemiker,0,
Chemie,0,
überprüfen,0,
Truhe,0,
kauen,0,
Hähnchen,0,
Chef,0,
Kind,0,
kinn,0,
Chip,0,
Schokolade,0,
Auswahl,0,
wählen,0,
hacken,0,
fällen,0,
abhacken,0,
Kirche,0,
Zigarette,0,
Kino,0,
Kreis,0,
Umstand,0,
Bürger,0,
Stadt,0,
bürgerlich,0,
Klage,0,
klatschen,0,
Klasse,0,
klassisch,0,
Klassenzimmer,0,
sauber,0,
Aufräumen,0,
klar,0,
deutlich,0,
klären,0,
klären,0,
Sachbearbeiter,0,
clever,0,
klicken,0,
Klient,0,
Klima,0,
steigen,0,
Klettern,0,
Uhr,0,
nah dran,0,
abgeschlossen,0,
eng,0,
Wandschrank,0,
Stoff,0,
Kleidung,0,
Kleidung,0,
Wolke,0,
Verein,0,
Coach,0,
Kohle,0,
Küste,0,
Mantel,0,
Code,0,
Kaffee,0,
Münze,0,
kalt,0,
kalt,0,
Zusammenbruch,0,
Kollege,0,
sammeln,0,
Sammlung,0,
Uni,0,
Farbe,0,
farbig,0,
Säule,0,
Kombination,0,
kombinieren,0,
Kommen Sie,0,
stoßen rüber,0,
herunter kommen,0,
Komödie,0,
komme aus,0,
Komm herein,0,
ausgehen,0,
aufleuchten,0,
herauskommen,0,
vorbeikommen,0,
Komm zu,0,
aufkommen,0,
komm an,0,
Komfort,0,
gemütlich,0,
bequem,0,
Befehl,0,
Kommentar,0,
kommerziell,0,
Kommission,0,
verpflichten,0,
Verpflichtung,0,
Komitee,0,
gemeinsames,0,
häufig,0,
kommunizieren,0,
Kommunikation,0,
Gemeinschaft,0,
Gesellschaft,0,
vergleichen,0,
Vergleich,0,
wetteifern,0,
Wettbewerb,0,
wettbewerbsfähig,0,
beschweren,0,
Beschwerde,0,
Komplett,0,
vollständig,0,
Komplex,0,
komplizieren,0,
kompliziert,0,
Computer,0,
konzentrieren,0,
konzentrieren auf,0,
Konzentration,0,
Konzept,0,
Anliegen,0,
betroffen,0,
betreffend,0,
Konzert,0,
daraus schließen,0,
Fazit,0,
Beton,0,
Bedingung,0,
Verhalten,0,
Konferenz,0,
Vertrauen,0,
zuversichtlich,0,
zuversichtlich,0,
beschränken,0,
beschränkt,0,
bestätigen,0,
Konflikt,0,
konfrontieren,0,
verwechseln,0,
verwirrt,0,
verwirrend,0,
Verwirrtheit,0,
gratulieren,0,
Glückwunsch,0,
Kongress,0,
verbinden,0,
in Verbindung gebracht,0,
Verbindung,0,
bewusst,0,
Folge,0,
konservativ,0,
Erwägen,0,
beträchtlich,0,
wesentlich,0,
Rücksichtnahme,0,
bestehen,0,
besteht aus,0,
Konstante,0,
ständig,0,
konstruieren,0,
Konstruktion,0,
konsultieren,0,
Verbraucher,0,
Kontakt,0,
enthalten,0,
Container,0,
zeitgenössisch,0,
Inhalt,0,
Wettbewerb,0,
Kontext,0,
Kontinent,0,
fortsetzen,0,
kontinuierlich,0,
ständig,0,
Vertrag,0,
Kontrast,0,
kontrastieren,0,
beitragen,0,
Beitrag,0,
Kontrolle,0,
kontrolliert,0,
praktisch,0,
Konvention,0,
konventionell,0,
Gespräch,0,
Konvertieren,0,
überzeugen,0,
Koch,0,
Kocher,0,
Plätzchen,0,
Kochen,0,
Kalt,0,
abkühlen,0,
bewältigen,0,
Kopieren,0,
Ader,0,
Ecke,0,
Korrekt,0,
korrekt,0,
kosten,0,
Hütte,0,
Baumwolle,0,
Husten,0,
Husten,0,
könnte,0,
Rat,0,
zählen,0,
Zähler,0,
verlassen auf,0,
Land,0,
Landschaft,0,
Bezirk,0,
Paar,0,
Mut,0,
Kurs,0,
Gericht,0,
Cousin,0,
Startseite,0,
bedeckt,0,
Abdeckung,0,
zudecken,0,
Kuh,0,
Riss,0,
geknackt,0,
Boot,0,
Absturz,0,
verrückt,0,
Creme,0,
schaffen,0,
Kreatur,0,
Anerkennung,0,
Kreditkarte,0,
Verbrechen,0,
kriminell,0,
Krise,0,
knackig,0,
Kriterium,0,
kritisch,0,
Kritik,0,
kritisieren,0,
Ernte,0,
Kreuz,0,
streichen,0,
Menge,0,
überlaufen,0,
Krone,0,
zentral,0,
grausam,0,
zerkleinern,0,
Schrei,0,
schreien,0,
kulturell,0,
Kultur,0,
Tasse,0,
Schrank,0,
Randstein,0,
Heilung,0,
neugierig,0,
Seltsamerweise,0,
Locken,0,
sich zusammenrollen,0,
lockig,0,
aktuell,0,
zur Zeit,0,
Vorhang,0,
Kurve,0,
gebogen,0,
Brauch,0,
Kunde,0,
Zoll,0,
schneiden,0,
Rückschnitt,0,
verringern,0,
abgeschnitten,0,
ausgeschnitten,0,
zerschneiden,0,
Kreislauf,0,
Radfahren,0,
Papa,0,
Täglich,0,
Schaden,0,
Feuchte,0,
tanzen,0,
Tänzer,0,
Tanzen,0,
Achtung,0,
gefährlich,0,
Wagen,0,
dunkel,0,
Daten,0,
Datum,0,
Date zurück,0,
Tochter,0,
Tag,0,
tot,0,
taub,0,
handeln,0,
ansprechen,0,
bewältigen,0,
Liebling,0,
Tod,0,
Debatte,0,
Schuld,0,
Jahrzehnt,0,
Verfall,0,
Dezember,0,
sich entscheiden,0,
entscheiden über,0,
Entscheidung,0,
erklären,0,
Abfall,0,
schmücken,0,
Dekoration,0,
dekorativ,0,
Verringerung,0,
tief,0,
tief,0,
Verlust,0,
Verteidigung,0,
verteidigen,0,
definieren,0,
definitiv,0,
bestimmt,0,
Definition,0,
Grad,0,
Verzögerung,0,
absichtlich,0,
absichtlich,0,
empfindlich,0,
Vergnügen,0,
erfreut,0,
liefern,0,
Lieferung,0,
fordern,0,
zeigen,0,
Zahnarzt,0,
leugnen,0,
Abteilung,0,
Abfahrt,0,
abhängen,0,
darauf ankommen,0,
Hinterlegung,0,
deprimieren,0,
deprimiert,0,
deprimierend,0,
Tiefe,0,
ableiten,0,
ergeben sich aus,0,
beschreiben,0,
Bezeichnung,0,
Wüste,0,
verlassen,0,
verdienen,0,
Entwurf,0,
Verlangen,0,
Schreibtisch,0,
verzweifelt,0,
verzweifelt,0,
Trotz,0,
zerstören,0,
Zerstörung,0,
Detail,0,
detailliert,0,
Festlegung,0,
bestimmen,0,
bestimmt,0,
sich entwickeln,0,
Entwicklung,0,
Gerät,0,
widmen,0,
hingebungsvoll,0,
widmen,0,
Diagramm,0,
Diamant,0,
Tagebuch,0,
Wörterbuch,0,
sterben,0,
wegsterben,0,
Aussterben,0,
Diät,0,
Unterschied,0,
anders,0,
anders,0,
schwierig,0,
Schwierigkeit,0,
graben,0,
Digital,0,
Abendessen,0,
Direkte,0,
Richtung,0,
direkt,0,
Direktor,0,
Schmutz,0,
schmutzig,0,
deaktiviert,0,
Nachteil,0,
nicht zustimmen,0,
Uneinigkeit,0,
nicht einverstanden mit dem Tun,0,
verschwinden,0,
enttäuschen,0,
enttäuscht,0,
enttäuschend,0,
Enttäuschung,0,
Missbilligung,0,
missbilligen,0,
missbilligend,0,
Katastrophe,0,
Rabatt,0,
Disziplin,0,
Rabatt,0,
entdecken,0,
Entdeckung,0,
diskutieren,0,
Diskussion,0,
Erkrankung,0,
der Ekel,0,
angewidert,0,
widerlich,0,
Gericht,0,
unehrlich,0,
unehrlich,0,
Scheibe,0,
nicht gefallen,0,
zurückweisen,0,
Anzeige,0,
sich auflösen,0,
Distanz,0,
unterscheiden,0,
verteilen,0,
Verteilung,0,
Bezirk,0,
stören,0,
störend,0,
teilen,0,
Aufteilung,0,
Scheidung,0,
geschieden,0,
tun,0,
Arzt,0,
dokumentieren,0,
Hund,0,
Dollar,0,
inländisch,0,
dominieren,0,
Tür,0,
Punkt,0,
doppelt,0,
Zweifel,0,
aufpeppen,0,
machen mit,0,
verzichten,0,
Nieder,0,
unten,0,
nach unten,0,
nach unten,0,
Dutzend,0,
Entwurf,0,
ziehen,0,
Theater,0,
dramatisch,0,
dramatisch,0,
zeichnen,0,
Schublade,0,
Zeichnung,0,
Traum,0,
Kleid,0,
gekleidet,0,
Ankleiden,0,
Getränk,0,
Fahrt,0,
wegfahren,0,
wegfahren,0,
Treiber,0,
Fahren,0,
fallen,0,
aussteigen,0,
Arzneimittel,0,
Drogerie,0,
Trommel,0,
betrunken,0,
trocken,0,
abtrocknen,0,
Austrocknen,0,
fällig,0,
Stumpf,0,
entsorgen,0,
während,0,
Staub,0,
Pflicht,0,
DVD,0,
Absterben,0,
jeder,0,
gegenseitig,0,
Ohr,0,
frühzeitig,0,
verdiene,0,
Erde,0,
Leichtigkeit,0,
leicht,0,
Ost,0,
Ost,0,
einfach,0,
Essen,0,
Essen gehen,0,
aufessen,0,
wirtschaftlich,0,
Wirtschaft,0,
Kante,0,
Auflage,0,
Editor,0,
erziehen,0,
gebildet,0,
Ausbildung,0,
Wirkung,0,
Wirksam,0,
effektiv,0,
effizient,0,
effizient,0,
Anstrengung,0,
z.B.,0,
Ei,0,
acht,0,
achtzehn,0,
Achtzehnt,0,
achte,0,
Achtzigste,0,
achtzig,0,
entweder,0,
Ellbogen,0,
Alten,0,
wählen,0,
Wahl,0,
elektrisch,0,
elektrisch,0,
Elektrizität,0,
elektronisch,0,
elegant,0,
Element,0,
Aufzug,0,
elf,0,
elfte,0,
anders,0,
anderswo,0,
Email,0,
in Verlegenheit bringen,0,
beschämt,0,
peinlich,0,
Verlegenheit,0,
auftauchen,0,
Notfall,0,
Emotion,0,
emotional,0,
emotional,0,
Hervorhebung,0,
betonen,0,
Reich,0,
beschäftigen,0,
Angestellter,0,
Arbeitgeber,0,
Beschäftigung,0,
leer,0,
ermöglichen,0,
begegnen,0,
ermutigen,0,
Ermutigung,0,
Ende,0,
Ende in,0,
Ende,0,
Enden,0,
Feind,0,
Energie,0,
engagieren,0,
verlobt,0,
Motor,0,
Techniker,0,
Ingenieurwesen,0,
Viel Spaß,0,
angenehm,0,
Vergnügen,0,
enorm,0,
genügend,0,
Anfrage,0,
dafür sorgen,0,
Eintreten,0,
unterhalten,0,
Entertainer,0,
unterhaltsam,0,
Entertainment,0,
Begeisterung,0,
enthusiastisch,0,
begeistert,0,
gesamte,0,
völlig,0,
berechtigen,0,
Eingang,0,
Eintrag,0,
Umschlag,0,
Umgebung,0,
Umwelt,0,
gleich,0,
gleichermaßen,0,
Ausrüstung,0,
Äquivalent,0,
Error,0,
Flucht,0,
besonders,0,
Aufsatz,0,
wesentlich,0,
im Wesentlichen,0,
Gründen,0,
Anwesen,0,
schätzen,0,
usw.,0,
Euro,0,
eben,0,
Abend,0,
Veranstaltung,0,
letztlich,0,
je,0,
jeder,0,
alle,0,
alle,0,
alles,0,
"überall, überallhin, allerorts",0,
Beweis,0,
teuflisch,0,
ex-,0,
genau,0,
exakt,0,
übertreiben,0,
übertrieben,0,
Prüfung,0,
Untersuchung,0,
untersuchen,0,
Beispiel,0,
Ausgezeichnet,0,
außer,0,
Ausnahme,0,
Austausch,0,
begeistern,0,
aufgeregt,0,
Aufregung,0,
aufregend,0,
ausschließen,0,
ausschließlich,0,
Entschuldigung,0,
Executive,0,
Übung,0,
Ausstellungsstück,0,
Ausstellung,0,
existieren,0,
Existenz,0,
Ausfahrt,0,
erweitern,0,
erwarten von,0,
Erwartung,0,
erwartet,0,
Kosten,0,
teuer,0,
Erfahrung,0,
erfahren,0,
Experiment,0,
Experte,0,
erklären,0,
Erläuterung,0,
explodieren,0,
erforschen,0,
Explosion,0,
Export,0,
entlarven,0,
ausdrücken,0,
Ausdruck,0,
erweitern,0,
Verlängerung,0,
umfangreich,0,
Ausmaß,0,
extra,0,
außerordentlich,0,
extrem,0,
äußerst,0,
Auge,0,
Gesicht,0,
Gesicht zu,0,
Einrichtung,0,
Tatsache,0,
Faktor,0,
Fabrik,0,
scheitern,0,
Versagen,0,
ohnmächtig werden,0,
schwach,0,
Messe,0,
ziemlich,0,
Glaube,0,
treu,0,
treu,0,
Herbst,0,
falsch,0,
Ruhm,0,
vertraut,0,
Familie,0,
berühmt,0,
Fan,0,
schick,0,
weit,0,
Bauernhof,0,
Bauer,0,
Landwirtschaft,0,
weiter,0,
am weitesten,0,
Mode,0,
modisch,0,
schnell,0,
befestigen,0,
fett,0,
Vater,0,
Wasserhahn,0,
Fehler,0,
favorisieren,0,
Favorit,0,
Furcht,0,
Feder,0,
Besonderheit,0,
Februar,0,
Bundes,0,
Gebühr,0,
Einspeisung,0,
Gefühl,0,
Gefühl,0,
Gefährte,0,
weiblich,0,
Zaun,0,
Festival,0,
bringen,0,
Fieber,0,
wenig,0,
aufstellen,0,
fünfzehn,0,
fünfzehnte,0,
fünfte,0,
fünfzigste,0,
fünfzig,0,
Kampf,0,
Kampf,0,
Zahl,0,
herausfinden,0,
Datei,0,
füllen,0,
ergänze,0,
ausfüllen,0,
auffüllen,0,
Film,0,
Finale,0,
endlich,0,
Finanzen,0,
finanziell,0,
finden,0,
erfahren,0,
fein,0,
fein,0,
Finger,0,
Fertig,0,
fertig,0,
erledigen,0,
Feuer,0,
Feste,0,
fest,0,
Erste,0,
Fische,0,
Angeln,0,
fit,0,
sich einfügen,0,
fünf,0,
Fix,0,
Fest,0,
Flagge,0,
Flamme,0,
Blitz,0,
eben,0,
Geschmack,0,
Fleisch,0,
Flug,0,
schweben,0,
Flut,0,
überflutet,0,
Überschwemmung,0,
Boden,0,
Mehl,0,
fließen,0,
Blume,0,
Grippe,0,
fliegen,0,
fliegend,0,
Fokus,0,
falten,0,
Falten,0,
Folgen,0,
folgen,0,
nachverfolgen,0,
Lebensmittel,0,
Fuß,0,
Fußball,0,
zum,0,
Macht,0,
Vorhersage,0,
ausländisch,0,
Wald,0,
bis in alle Ewigkeit,0,
vergessen,0,
verzeihen,0,
Gabel,0,
bilden,0,
formell,0,
formal,0,
ehemalige,0,
früher,0,
Formel,0,
vierzigste,0,
Reichtum,0,
vierzig,0,
nach vorne,0,
gefunden,0,
Stiftung,0,
vier,0,
vierzehn,0,
vierzehnte,0,
vierte,0,
rahmen,0,
frei,0,
Freiheit,0,
frei,0,
einfrieren,0,
häufig,0,
häufig,0,
frisch,0,
frisch,0,
Freitag,0,
Kühlschrank,0,
Freund,0,
freundlich,0,
Freundschaft,0,
erschrecken,0,
erschrecken/aus,0,
erschrocken,0,
erschreckend,0,
aus,0,
Vorderseite,0,
gefroren,0,
Obst,0,
braten,0,
Treibstoff,0,
voll,0,
völlig,0,
Spaß,0,
Funktion,0,
funktionieren als,0,
Fonds,0,
grundlegend,0,
Beerdigung,0,
komisch,0,
Pelz,0,
Möbel,0,
des Weiteren,0,
Zukunft,0,
gewinnen,0,
Gallone,0,
zocken,0,
Glücksspiel,0,
Spiel,0,
Lücke,0,
Garage,0,
Müll,0,
Garten,0,
Gas,0,
Benzin,0,
Tor,0,
versammeln,0,
Ausrüstung,0,
Allgemeines,0,
allgemein,0,
generieren,0,
Generation,0,
großzügig,0,
großzügig,0,
sanft,0,
Gentleman,0,
sanft,0,
echt,0,
original,0,
Erdkunde,0,
erhalten,0,
wegkommen,0,
Geh weg mit,0,
Komm zurück,0,
vorbeikommen,0,
Treten Sie ein,0,
geraten in,0,
verschwinde,0,
"zusteigen, einsteigen, vorwärtskommen",0,
mach weiter,0,
aussteigen,0,
Komm drüber hinweg,0,
umgehen,0,
Gehen Sie zu,0,
durchkommen,0,
steh auf,0,
Riese,0,
Geschenk,0,
Mädchen,0,
feste Freundin,0,
geben,0,
hergeben,0,
zurück geben,0,
nachgeben,0,
abgeben,0,
verteilen,0,
aufgeben,0,
froh,0,
Glas,0,
global,0,
Handschuh,0,
Kleber,0,
gehen,0,
fortfahren,0,
Tor,0,
Geh weg,0,
geh zurück,0,
geh zurück zu,0,
Vergehen,0,
Gott,0,
gehen,0,
gehen in,0,
Gold,0,
gut,0,
Auf Wiedersehen,0,
Waren,0,
ausgehen,0,
mach weiter,0,
mach weiter,0,
hinausgehen,0,
ausgehen mit,0,
Gehen Sie hinüber,0,
Gehen Sie herum,0,
durchgehen,0,
durchziehen,0,
gehe zu,0,
geh hinauf,0,
regieren,0,
Regierung,0,
Gouverneur,0,
geh mit,0,
Gehen Sie ohne,0,
greifen,0,
Klasse,0,
schrittweise,0,
schrittweise,0,
Getreide,0,
Gramm,0,
Grammatik,0,
Grand,0,
Enkel,0,
Enkelin,0,
Großvater,0,
Oma,0,
Großelternteil,0,
Enkel,0,
gewähren,0,
Gras,0,
dankbar,0,
Grab,0,
ernst,0,
Großartig,0,
sehr,0,
grün,0,
grau,0,
Lebensmittelgeschäft,0,
Boden,0,
Gruppe,0,
größer werden,0,
Wachstum,0,
erwachsen werden,0,
Garantie,0,
bewachen,0,
erraten,0,
Gast,0,
führen,0,
schuldig,0,
Pistole,0,
Kerl,0,
Gewohnheit,0,
Haar,0,
Friseur,0,
halb,0,
Halle,0,
Hammer,0,
Hand,0,
zurückgeben,0,
Hand nach unten,0,
einreichen,0,
handhaben,0,
Handzettel,0,
aushändigen,0,
Hand rund,0,
aufhängen,0,
herumlungern,0,
Bleib mit,0,
rumhängen,0,
rumhängen mit,0,
abwarten,0,
Warte an,0,
auflegen,0,
passieren,0,
passieren,0,
glücklich,0,
Glück,0,
glücklich,0,
schwer,0,
kaum,0,
Schaden,0,
schädlich,0,
harmlos,0,
Hut,0,
hassen,0,
Hass,0,
haben,0,
zurückhaben,0,
auf,0,
"müssen, zu ... haben",0,
er,0,
Kopf,0,
Kopfschmerzen,0,
heilen,0,
die Gesundheit,0,
gesund,0,
hören,0,
hören von,0,
Hören,0,
hören von,0,
Herz,0,
Wärme,0,
Heizung,0,
Aufheizen,0,
Himmel,0,
schwer,0,
schwer,0,
Hacke,0,
Höhe,0,
Hölle,0,
hallo,0,
Hilfe,0,
hilfreich,0,
aushelfen,0,
somit,0,
Sie,0,
hier,0,
Held,0,
ihres,0,
Sie selber,0,
zögern,0,
hallo,0,
ausblenden,0,
hoch,0,
Markieren,0,
höchst,0,
Autobahn,0,
hügel,0,
ihn,0,
selbst,0,
Hüfte,0,
mieten,0,
vermieten,0,
seine,0,
historisch,0,
Geschichte,0,
Schlag,0,
Hobby,0,
halt,0,
halte zurück,0,
festhalten,0,
festhalten,0,
aushalten,0,
halten,0,
Loch,0,
Ferien,0,
hohl,0,
heilig,0,
Heimat,0,
Hausaufgaben,0,
ehrlich,0,
Ehrlich,0,
ehren,0,
Haken,0,
Hoffnung,0,
horizontal,0,
Horn,0,
Grusel,0,
Pferd,0,
Krankenhaus,0,
Gastgeber,0,
heiß,0,
Hotel,0,
Stunde,0,
Haus,0,
